ts,batch,event,file,rows_before,rows_after,detail
2026-04-05 15:19:01 UK,GEN,SEASON_2526_GENERATED,season_2025_26.json,0,14783,
2026-04-05 15:19:15 UK,GEN,SEASON_2425_GENERATED,season_2024_25.json,0,23144,
2026-04-05 15:19:16 UK,GEN,GENERATE_COMPLETE,,0,0,elapsed=1650s
2026-04-05 15:54:12 UK,INJ,FETCH_START,,0,0,date=2026-04-05
2026-04-05 15:54:44 UK,INJ,FETCH_FAILED_USING_CACHE,,0,0,date=2026-04-05 cached=0
2026-04-05 16:00:03 UK,B3,BATCH_START,,0,0,date=2026-04-05
2026-04-05 16:00:16 UK,INJ,FETCH_START,,0,0,date=2026-04-05
2026-04-05 16:00:48 UK,INJ,FETCH_FAILED_USING_CACHE,,0,0,date=2026-04-05 cached=0
2026-04-05 16:00:48 UK,INJ,FETCH_START,,0,0,date=2026-04-05
2026-04-05 16:01:19 UK,INJ,FETCH_FAILED_USING_CACHE,,0,0,date=2026-04-05 cached=0
2026-04-05 16:01:26 UK,INJ,FETCH_START,,0,0,date=2026-04-05
2026-04-05 16:01:57 UK,INJ,FETCH_FAILED_USING_CACHE,,0,0,date=2026-04-05 cached=0
2026-04-05 16:01:57 UK,B3,PROPS_FETCHED,,0,0,132 props
2026-04-05 16:09:14 UK,INJ,FETCH_START,,0,0,date=2026-04-05
2026-04-05 16:09:46 UK,INJ,FETCH_FAILED_USING_CACHE,,0,0,date=2026-04-05 cached=0
2026-04-05 16:12:17 UK,INJ,FETCH_START,,0,0,date=2026-04-05
2026-04-05 16:13:19 UK,INJ,FETCH_FAILED_USING_CACHE,,0,0,date=2026-04-05 cached=0
2026-04-05 16:24:03 UK,INJ,FETCH_START,,0,0,date=2026-04-05
2026-04-05 16:24:11 UK,INJ,FETCH_START,,0,0,date=2026-04-05
2026-04-05 16:27:06 UK,INJ,FETCH_FAILED_USING_CACHE,,0,0,date=2026-04-05 cached=0
2026-04-05 16:27:11 UK,INJ,FETCH_FAILED_USING_CACHE,,0,0,date=2026-04-05 cached=0
2026-04-05 16:42:06 UK,INJ,FETCH_START,,0,0,date=2026-04-05
2026-04-05 16:45:12 UK,INJ,FETCH_FAILED_USING_CACHE,,0,0,date=2026-04-05 cached=0
2026-04-05 16:48:31 UK,INJ,FETCH_START,,0,0,date=2026-04-05
2026-04-05 16:51:31 UK,INJ,FETCH_FAILED_USING_CACHE,,0,0,date=2026-04-05 cached=0
2026-04-05 17:00:12 UK,INJ,FETCH_START,,0,0,date=2026-04-05
2026-04-05 17:03:16 UK,INJ,FETCH_FAILED_USING_CACHE,,0,0,date=2026-04-05 cached=0
2026-04-05 17:04:56 UK,INJ,FETCH_START,,0,0,date=2026-04-05
2026-04-05 17:05:36 UK,INJ,FETCH_FAILED_USING_CACHE,,0,0,date=2026-04-05 cached=0
