PLAYER_NAME,OPPONENT,H2H_GAMES,H2H_AVG_PTS,H2H_MEDIAN_PTS,H2H_STD_PTS,H2H_FG_PCT,H2H_TS_PCT,H2H_TS_VS_OVERALL,H2H_FGA_VS_OVERALL,H2H_MIN_VS_OVERALL,H2H_AVG_FGA,H2H_AVG_MIN,L3_H2H_AVG_PTS,L5_H2H_AVG_PTS,H2H_PTS_TREND,H2H_CURRENT_SEASON_AVG_PTS,H2H_GAMES_CURRENT_SEASON,H2H_HOME_AVG_PTS,H2H_AWAY_AVG_PTS,H2H_CONFIDENCE,H2H_SCORING_PROFILE,DAYS_SINCE_LAST_H2H
A.J. Lawson,BKN,2,7.5,7.5,7.78,0.4,0.4596,-0.1017,1.88,4.08,7.5,19.0,7.5,7.5,0.0,7.5,0,7.5,7.5,0.3164,VOLUME,366
A.J. Lawson,BOS,4,3.25,1.5,4.72,0.3125,0.4062,-0.155,-1.62,-7.77,4.0,7.15,4.33,3.25,1.08,4.33,3,10.0,1.0,0.4032,VOLUME,2
A.J. Lawson,CHA,2,8.0,8.0,8.49,0.5,0.5814,0.0202,0.38,3.58,6.0,18.5,8.0,8.0,0.0,8.0,0,8.0,8.0,0.3141,MINUTES,363
A.J. Lawson,CHI,1,13.0,13.0,0.0,0.8333,0.9448,0.3836,0.38,-1.92,6.0,13.0,13.0,13.0,0.0,13.0,0,13.0,13.0,0.46,EFFICIENCY,371
A.J. Lawson,DAL,1,12.0,12.0,0.0,0.3,0.4747,-0.0865,4.38,17.08,10.0,32.0,12.0,12.0,0.0,12.0,0,12.0,12.0,0.46,VOLUME,361
A.J. Lawson,DET,2,11.0,11.0,2.83,0.5,0.6892,0.128,0.38,5.83,6.0,20.75,11.0,11.0,0.0,13.0,1,9.0,13.0,0.4382,MINUTES,7
A.J. Lawson,GSW,2,3.0,3.0,4.24,0.4,0.5102,-0.051,-3.12,-4.42,2.5,10.5,3.0,3.0,0.0,6.0,1,3.0,3.0,0.2857,VOLUME,77
A.J. Lawson,IND,2,2.5,2.5,3.54,0.4,0.5,-0.0612,-3.12,-5.42,2.5,9.5,2.5,2.5,0.0,2.5,2,0.0,5.0,0.2857,VOLUME,58
A.J. Lawson,LAC,1,0.0,0.0,0.0,0.0,0.0,-0.5612,-3.62,-1.92,2.0,13.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.46,VOLUME,81
A.J. Lawson,LAL,1,5.0,5.0,0.0,0.3333,0.6443,0.0831,-2.62,-8.92,3.0,6.0,5.0,5.0,0.0,5.0,1,5.0,5.0,0.46,VOLUME,79
